id,categoryId,categoryName,name,photoUrls,tags,status
26,1026,pet,Bolt Pata Veloz,[],[],available
27,1027,pet,Luna Bigodinha,[],[],available
28,1028,pet,Thor Rabisco,[],[],available
29,1029,pet,Mimi Estelar,[],[],available
30,1030,pet,Rex Trovão,[],[],available
31,1031,pet,Nina Pipoca,[],[],available
32,1032,pet,Zeca Fofuxo,[],[],available
33,1033,pet,Amora Saltitante,[],[],available
34,1034,pet,Bidu Caramelo,[],[],available
35,1035,pet,Pandora Faísca,[],[],available
36,1036,pet,Kiko Malhado,[],[],available
37,1037,pet,Mel Nuvem,[],[],available
38,1038,pet,Tico Travesso,[],[],available
39,1039,pet,Jade Brilhante,[],[],available
40,1040,pet,Pingo Sereno,[],[],available
41,1041,pet,Safira do Vale,[],[],available
42,1042,pet,Bento Guardião,[],[],available
43,1043,pet,Pérola da Serra,[],[],available
44,1044,pet,Ozzy Patinhas,[],[],available
45,1045,pet,Cacau Ventania,[],[],available
46,1046,pet,Dora Encantada,[],[],available
47,1047,pet,Apolo do Cerrado,[],[],available
48,1048,pet,Lola Aurora,[],[],available
49,1049,pet,Nico da Praça,[],[],available
50,1050,pet,Gaia Sonhadora,[],[],available
